Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
TCF - TELECOMUNICAÇÕES CAMPO FLORIDO LTDA.;11/03/2010;Conceição das Alagoas;MG
ELIZIO PEREIRA BRANDAO NETO;08/12/2016;Cruz;CE
G. PEREIRA NORONHA - ME;29/12/2014;Parambu;CE
DELTA TELECOM LTDA - ME;30/11/2015;Brasil Novo;PA
JEBNET TELECOMUNICACOES LTDA;16/09/2010;Itapipoca;CE
SIDYS COMUNICAÇÕES LTDA;12/08/2011;Currais Novos;RN
ADILSON ALVES DE ANDRADE - ME;15/04/2016;Açucena;MG
WEBSUL TELECOMUNICAÇÕES LTDA;26/05/2008;Tramandaí;RS
SOARES & AGUIAR  ELETRONICA LTDA ;20/01/2014;Vitória de Santo Antão;PE
MARKAN COMERCIO E SERVICOS EIRELI - ME;18/05/2017;Pedro Canário;ES
J V SILVA PROVEDOR - ME;07/03/2016;Bezerros;PE
CLEVERTON DE OLIVEIRA ME ;20/06/2011;Aracaju;SE
RADIUN SERVICOS DE PROVEDOR DE INTERNET LTDA;15/01/2009;Remanso;BA
AT3 - TECNOLOGIA EIRELI - EPP;05/08/2016;Aracruz;ES
H E TELECOMUNICACOES & INFORMATICA LTDA - ME;21/07/2017;Itapajé;CE
NATHALIA TINTORI  MINETTO  M. E. ;25/08/2011;Limeira;SP
NORTE.NET TELECOMUNICACOES LTDA - ME;10/10/2016;Paraíso do Tocantins;TO
PROVALE INFORMATICA LTDA;22/10/2014;Guaratinguetá;SP
FERNANDO B. DE OLIVEIRA E CIA LTDA;15/12/2014;Ijuí;RS
DIGITAL PROVEDOR DE INTERNET LTDA;27/05/2009;Guaíra;PR
C. M. ENEAS - EPP;21/11/2016;Fortaleza;CE
LAISON DANTAS FREITAS - ME;04/07/2016;Fortaleza;CE
NAVEX TELECOM LTDA - EPP ;14/06/2012;Limeira;SP
GTA TELECOM LTDA;02/03/2015;São Paulo;SP
MAIKON JEFFERSON SILVA GALDINO DE SOUSA - ME;13/03/2017;Fortaleza;CE
CARLESSI COMERCIO E SOLUCOES DE INTERNET LTDA ME ;11/07/2011;São José dos Ausentes;RS
CONSULTREVI INFORMATICA LTDA - EPP;11/12/2017;Itupeva;SP
A F DE OLIVEIRA COMUNICAÇÕES - ME;23/02/2015;Mauá;SP
MMR TELECOMUNICAÇÕES LTDA - ME;07/12/2015;Salvador;BA
GEORGE IZUI;17/11/2016;Ubiratã;PR
RODRIGO M. L. NOGUEIRA - ME;10/06/2016;Iguatemi;MS
ON SERVICOS DIGITAIS - EIRELI - EPP;14/06/2017;Ponta Grossa;PR
INFORBARRA COMERCIO DE MATERIAIS DE INFORMATICA LTDA;03/11/2014;Barra do Choça;BA
I DOS SANTOS QUEIROZ E CIA LTDA ME;25/01/2012;Vitória da Conquista;BA
STONE TECNOLOGIA EIRELE - EPP;01/07/2015;Belém;PA
ELEANDRO LUIZ SAMPAIO - ME;01/10/2013;Sengés;PR
NETMICRO INFORMATICA LTDA. - ME.;24/12/2014;Dourados;MS
ADRIANO VIEIRA DE LIMA - TELECOM - ME;22/03/2017;Cambé;PR
3 NET TELECOMUNICAÇÕES LTDA ME;19/05/2010;Birigui;SP
ANDERSON GUSTAVO NEVES GOMES - ME;23/10/2009;Valentim Gentil;SP
AVANCAR - ENGENHARIA DE COMPUTACAO EIRELI - EPP;23/03/2015;Passos;MG
KEHL E REMUSSI LTDA - ME;30/04/2013;Santa Helena;PR
REDTECH SOLUÇÕES EM INFORMÁTICA LTDA - ME;03/02/2015;Lauro de Freitas;BA
RF CONNECT PROVEDOR DE ACESSO LTDA - ME;08/03/2012;Votuporanga;SP
CASTELLO COMERCIO DE INFORMATICA EIRELI - ME;18/07/2014;Presidente Castello Branco;SC
ELEZIANE MÁXIMIANO ME;06/12/2011;Palhoça;SC
IAZNET - COMÉRCIO DE EQUIPAMENTOS ELETRÔNICOS E TELECOMUNICAÇÕES LTDA. - ME;16/09/2010;Amaral Ferrador;RS
ENTERIW PROVEDOR DE INTERNET LTDA;09/01/2007;São João do Rio do Peixe;PB
A.A.B.I. COMERCIO DE PRODUTOS PARA INFORMATICA E CURSOS DE TREINAMENTOS LTDA - ME;24/03/2011;Regente Feijó;SP
FUTURA INFORMATICA FRUTAL LTDA;06/07/2010;Frutal;MG
JV EMPREENDIMENTOS LTDA - ME;08/05/2015;Porto Rico;PR
AVA TELECOMUNICAÇÕES LTDA;22/02/2012;São Paulo;SP
ARTEFIO CARVALHO MACHADO SANTOS - ME;03/05/2017;Aracaju;SE
JEFERSON MADALENA - EPP;20/06/2011;São José dos Campos;SP
TELEMID TELECOMUNICAÇÕES LTDA - ME;05/06/2015;Valparaíso de Goiás;GO
GUILHERME DA SILVA FONSECA - ME;16/05/2016;Lagoa Grande;MG
G TURBO TELECOM SERVICOS DE INTERNET LTDA;21/06/2017;São José;SC
COMPLEXX TECNOLOGIA LTDA;30/11/2006;Cuiabá;MT
ACENET DO BRASIL SERVICOS DE TELECOMUNICACOES LTDA;24/09/2003;São Paulo;SP
JUNTO TELECOM SERVIÇOS DE TELECOMUNICAÇÕES LTDA;11/07/2014;Belém;PA
FELIPE MAURICIO DE QUEIROZ - ME;22/03/2013;Abreu e Lima;PE
ANTONY P. MARTINS ME - ME;06/04/2017;Quaraí;RS
CONEXAO SERRA SERVICOS DE INTERNET LTDA ME;26/01/2010;São Joaquim;SC
C A DE OLIVEIRA PROVEDOR DE ACESSO A INTERNET - ME;24/08/2015;Parnamirim;RN
USONET TECNOLOGIC LTDA - EPP;07/11/2008;Naviraí;MS
R L GUIMARAES TELECOMUNICAÇÃO - ME;06/11/2015;Imperatriz;MA
TEC SYSTEM SISTEMAS ELETRONICOS LTDA;16/06/2008;Sapiranga;RS
ALCA TELECOM COMUNICAÇÃO MULTIMIDIA LTDA - ME;04/02/2009;Brasília;DF
LINKNETBR TELECOMUNICAÇÕES E TECNOLOGIA LTDA;22/02/2013;Novo Gama;GO
DOUETTES SERVICOS DE INFORMATICA E TELECOMUNICACOES LTDA - ME;08/09/2016;Alagoa Nova;PB
TRI TELECOM LTDA - EPP;16/03/2010;Alvorada;RS
SANSARA TELECOM LTDA.;26/06/2009;Caraguatatuba;SP
NARCELIO L DE SOUZA - ME;02/06/2015;Tibau;RN
UNONET LTDA - ME;14/07/2011;Cruzeiro do Sul;AC
LEVNET - TELECOM E INFORMATICA LTDA - ME;26/12/2016;Teófilo Otoni;MG
VSP INFORMATICA LTDA - ME;07/10/2016;Paraíso do Norte;PR
NETMASTER TELECOM LTDA.;13/07/2009;Videira;SC
BRNET TELECOMUNICAÇÕES LTDA. ME;15/12/2005;Bom Retiro do Sul;RS
HF NET TELECOMUNICAÇÕES;02/12/2015;São Roque;SP
CLAUDIO SALES DE SOUZA;02/09/2015;Mauá;SP
CHARLLEY PEREIRA DA SILVA;06/09/2011;Virgem da Lapa;MG
FONELIGHT TELECOMUNICACOES S.A.;06/12/2011;Varginha;MG
JULIO AUGUSTO PROVEDORES DE INTERNET - ME;24/03/2011;Fernandópolis;SP
RODRIGO CAMOZZATO FIEL & CIA LTDA - ME;16/07/2004;Sinop;MT
M. J. SOARES COMUNICAÇÕES - ME;03/02/2016;Guaraciaba do Norte;CE
HP DA SILVA CONNECT EIRELI - ME;06/06/2016;Tucuruí;PA
CBT TELECOMUNICAÇÃO LTDA;31/07/2014;Sanclerlândia;GO
ELAINE RODRIGUES CARLOS - ME;11/08/2015;Palmital;SP
COMPANHIA DE PROCESSAMENTO DE DADOS DO MUNICIPIO DE PORTO ALEGRE;09/10/2002;Porto Alegre;RS
AMTECK IFORMATICA LTDA - ME;18/03/2013;Confresa;MT
SUPERNET INFORMATICA E SERVICOS LTDA - ME;29/06/2016;Areia Branca;RN
MEGA MAIS TELECOM LTDA - ME;23/02/2017;Brasília;DF
F. M. WOSNIAK & CIA LTDA - ME;27/09/2017;Marmeleiro;PR
CLARO S.A.;11/12/2003;São Paulo;SP
C T DE ARAUJO - ME;27/01/2017;Arapiraca;AL
INFOTEK.NET PROVEDOR DE INTERNET LTDA - ME;31/10/2012;Altinópolis;SP
ARAUJO SAT COMERCIO DE ANTENAS LTDA-ME;09/05/2008;Crato;CE
NEWAVE TECNOLOGIA DA INFORMACAO LTDA;23/05/2012;Guarulhos;SP
ITALBRASNET IMPORTACAO E EXPORTACAO LTDA  ;30/01/2008;Florianópolis;SC
REDESKYNET PROVEDOR DE ACESSO A INTERNET LTDA - ME;22/04/2015;Parnaíba;PI
MICROTEC TELECOMUNICAÇÕES LTDA - ME;01/04/2016;Corbélia;PR
JRF SOLUÇÕES EM TELECOMUNICAÇÕES E INFORMÁTICA LTDA - EPP;11/05/2016;Belém;PA
BREM TECHNOLOGY LTDA - ME;23/03/2015;Sorocaba;SP
BRAVA TELECOMUNICACOES BRASILIA LTDA;06/10/2011;Brasília;DF
GUTIERY E MARTINS LTDA. ME;08/06/2011;Águas Lindas de Goiás;GO
NEXT PROVEDORES DE ACESSO LTDA - ME;17/02/2016;Pereira Barreto;SP
MUNDIVOIP COMUNICACOES LTDA - EPP;27/01/2010;Balneário Camboriú;SC
E.M. FREDEGOTTO E CIA LTDA - ME;22/09/2015;Cambará;PR
SMARTLINK TECNOLOGIA EM INTERNET LTDA - ME;08/09/2016;Recife;PE
MATIAS LINDOLFO BUNDT - ME;25/04/2014;Paraíso do Sul;RS
NEW MASTER TURBO NET LTDA - ME;28/12/2010;Indiara;GO
CONNECTRONIC SERVICOS LTDA EPP;22/12/2014;Vitória;ES
FD INFORMATICA LTDA - EPP;01/12/2009;Conchas;SP
SIM BRAZIL TELECOM SERVICOS DE COMUNICACAO LTDA - ME;12/01/2012;Vitória da Conquista;BA
MARCIO EDUARDO REGO - MICROEMPRESA;08/06/2011;Canindé de São Francisco;SE
J M NET SERVICOS DE INFORMATICA LTDA ME;10/07/2012;Jaguaruana;CE
M. ANTONIO OLIVEIRA LIMA;08/04/2015;Fortaleza;CE
VIPMAXX - INTERNET LTDA - ME;15/10/2013;Mafra;SC
PAPA TECNOLOGIA LTDA;03/08/2010;Alagoa Grande;PB
NEOSKY TELECOM E INFORMATICA LTDA;06/08/2004;Santana de Parnaíba;SP
PLANOWEB NETWORKS SERVIÇOS E COMERCIO LTDA;13/08/2015;Feira de Santana;BA
M&M MATTOS SERVICOS DE TELECOMUNICACOES LTDA;15/08/2012;Nova Iguaçu;RJ
GLAUCIO GOMES RAMOS - ME;10/12/2014;Guarapuava;PR
INB TELECOM EIRELI - EPP;06/10/2010;Santo Antônio da Patrulha;RS
S-NET Telecom LTDA ME;05/12/2016;Serra;ES
F S DIAS COMERCIO E SERVICOS DE INFORMATICA E COMUNICACAO;30/05/2011;Casimiro de Abreu;RJ
HIDRAUCARTELECOM TELECOMUNICACOES EIRELI - ME;04/02/2009;Marialva;PR
INFOWEB SERVICOS E ENTRETENIMENTO LTDA.-ME;03/04/2009;Esmeraldas;MG
WASHINGTON MACENA DA SILVA ME;01/04/2014;Serra Dourada;BA
ALENILDE BRITO XAVIER OLIVEIRA - ME;17/04/2015;Maiquinique;BA
COMPANHIA NACIONAL PARA INCLUSÃO DIGITAL LTDA ME;27/04/2012;Cícero Dantas;BA
RIONET TECNOLOGIA EM INTERNET EIRELI - ME;30/11/2017;Olinda;PE
A. L. N. LOPES - ME;18/05/2017;Barra do Corda;MA
DIVINÓPOLISNET PROVEDOR DE INTERNET LTDA.-ME;28/11/2012;Divinópolis;MG
ULTRACEU LTDA - ME  ;03/05/2011;Itaúna;MG
MARCO AURELIO TOMAZ - ME;27/02/2013;Goiás;GO
MINASONLINE INTERNET & ASSISTÊNCIA LTDA - ME;11/05/2015;Pedra Azul;MG
BGNET PROVEDOR DE INTERNET LTDA ME;30/11/2015;Canitar;SP
FRANCISCO RIZOMAR BARBOSA COMERCIO E SERVIÇOS DE COMUNICAÇÃO - ME;20/07/2016;Santo André;SP
NETSTART SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA  - ME;28/08/2017;Igarassu;PE
ELUIS PEREIRA DA COSTA;11/07/2014;Nova Olinda;TO
MHNET TELECOMUNICAÇÕES EIRELI - EPP;21/12/2004;Maravilha;SC
SMART LINK CONSULTORIA E SERVIÇOS EM TELECOMUNICAÇÕES LTDA.;13/10/2006;Rio de Janeiro;RJ
JONES CRISTIAN GOERK  MARTINI - ME;27/06/2016;Capanema;PR
POINT TELECOMUNICAÇÕES LTDA - ME;05/05/2014;Unaí;MG
R.C. MONTANI - INFORMÁTICA - ME;12/12/2014;Nova Tebas;PR
ANDRESSA MONTEBUGNOLI - ME;19/10/2017;Agudos;SP
MIRIAN SOUZA COSTA - ME;24/11/2016;Feira de Santana;BA
ANTONIA MARIA CARVALHO GOMES - ME;05/08/2016;São Gonçalo do Amarante;CE
J. C. BRAGA INFORMATICA-ME;11/03/2010;Mirassol d'Oeste;MT
AGEM TECNOLOGIA E COMERCIO LTDA;23/06/2010;Rio Novo;MG
PAULO A. BISPO DA SILVA - INFORMATICA - ME;09/08/2016;Água Preta;PE
DIGITAL NET DO ES LTDA - ME  ;16/11/2015;Guaçuí;ES
HELIO DE A MORAIS ;19/10/2012;Presidente Dutra;MA
PONTONET TELECOM LTDA - ME;27/03/2009;Maringá;PR
LOGNET - TELECOMUNICACOES E INFORMATICA LTDA;03/07/2008;Salvador;BA
TESTE DE INTEGRAÇÃO;22/08/2011;Brasília;DF
TECHLINK TELECOMUNICAÇÕES LTDA - ME;26/12/2014;Araguari;MG
CRIP TELEMATICA LTDA - ME;24/04/2017;Cristais Paulista;SP
INTERCOM TELECOMUNICAÇÕES LTDA;04/08/2016;Camaragibe;PE
A. NOGUEIRA - ME;26/09/2014;Mulungu;CE
EDNEY AUGUSTO GALHARDO ;18/03/2013;Cunha;SP
GOTCHA.NET INTERNET PROVIDER LTDA - ME;15/04/2014;São Paulo;SP
MICRO LINE COMERCIAL LTDA;27/06/2008;Altamira;PA
SYNCONTEL TELECOMUNICAÇÕES LTDA - ME;11/03/2015;Barreiras;BA
CLARO E VITOR LTDA ME;22/02/2013;Araras;SP
IBL TELECOMUNICACOES LTDA.;05/11/2009;Guaratinguetá;SP
CARLA CRISTINE CUMIN & CIA LTDA;11/08/2015;Rio Branco do Sul;PR
CIDADEI SERVICOS DE COMUNICACAO MULTIMIDIA LTDA - ME;24/03/2016;Confresa;MT
WBLINK - TECNOLOGIA E COMUNICAÇÃO LTDA - ME;13/10/2004;Londrina;PR
NETGOIAS TELECOM LTDA ME;20/11/2008;Minaçu;GO
EDP Grid Gestão de Redes Inteligentes de Distribuição S.A;13/12/2012;Serra;ES
FAROL TELECOM LTDA  - ME;14/02/2017;Pelotas;RS
FABIO DE O ALMEIDA - EIRELI - ME;31/08/2017;Teresina;PI
CIANET DF SILVA MARTINS EIRELI - ME;28/04/2015;Brasília;DF
MUNDO MIX TELECOMUNICACOES SERVICOS LTDA;18/05/2017;Rio de Janeiro;RJ
INFOBY CASA DA INFORMÁTICA LTDA ME ;13/12/2012;Tijucas;SC
FRANCIELE RAMOS DOS SANTOS - ME;30/05/2017;Capinópolis;MG
UNIREDE SERVICOS DE TELECOMUNICACOES LTDA ME ;17/05/2011;Magé;RJ
SMART TELECOM NETWORKS SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;07/05/2014;Rio de Janeiro;RJ
DIGITAL TECNOLOGIA & TELECOMUNICACAO LTDA - EPP;12/03/2012;Belo Jardim;PE
PROVEDOR BRCENTRAL.NET LTDA;08/06/2011;Sanclerlândia;GO
GIGALINK DE NOVA FRIBURGO SOLUÇÕES EM REDE MULTIMÍDIA LTDA;14/12/2004;Nova Friburgo;RJ
D S ALENCAR CARDOSO - ME;09/08/2017;Saboeiro;CE
DEBORA RUAS SOARES FERRAZ;11/12/2013;Vitória da Conquista;BA
M C MEIRA PROVEDOR DE ACESSO LTDA.-ME.;28/05/2012;Brejões;BA
PIOTR PIWOWAR ME 956961726 87;22/03/2010;Almenara;MG
ASN SERVICOS AVANCADOS DE REDE LTDA - ME;27/02/2013;Itanhaém;SP
NOVA G1 TELECOM LTDA;24/07/2009;Londrina;PR
RADAR WISP LTDA;22/12/2009;Jaraguá;GO
LINK BRASIL  LTDA - ME;24/03/2011;Pirambu;SE
FIGUEIREDO PROVEDORES EIRELI - ME;19/05/2015;Bonfinópolis de Minas;MG
TERA TELECOM LTDA - ME;07/12/2016;Maracanaú;CE
NEO VOICE TELECOMUNICAÇÕES LTDA;22/08/2005;Rio de Janeiro;RJ
JAIR MORESCHI & CIA. LTDA-ME.;06/09/2011;Quilombo;SC
SOFTWAY INTERNET E TELECOMUNICAÇÕES LTDA;17/11/2010;Mogi Guaçu;SP
TORRES & ANSELMI LTDA;08/10/2012;Santa Isabel do Ivaí;PR
RENATO DIEMES FERREIRA;10/03/2017;Poços de Caldas;MG
BOMFIM & SOUSA LTDA;06/12/2011;São Miguel do Tapuio;PI
AURESSANDRA DE CASTRO FERREIRA ME;16/03/2016;Piripiri;PI
RODRIGO DA SILVA ESTEVÃO - ME;03/12/2015;Pelotas;RS
SERTAONET - INTERNET PROVIDER LTDA. - ME;14/07/2011;Sertãozinho;SP
E.C.E. TELECOMUNICACOES LTDA - ME;02/03/2015;Iracemápolis;SP
JR TELECOMUNICACOES LTDA;28/12/2007;Arroio Grande;RS
M. M. SERVICOS DE INFORMATICAS LTDA - ME;16/12/2014;Ji-Paraná;RO
BIAZI TELECOMUNICACOES LTDA - EPP;29/11/2010;Primavera do Leste;MT
M A B LIMA - ME;09/03/2017;Caucaia;CE
METROFLEX TELECOMUNICACOES LTDA;17/02/2010;Niterói;RJ
BRASIL NET SERVICOS DE TELECOMUNICACOES LTDA - ME;02/03/2015;Itaituba;PA
SPEEDIRECT TELECOMUNICACOES LTDA  - ME;18/01/2017;Severiano Melo;RN
VIVAS NETWORK LTDA ME ;22/02/2012;Jacareí;SP
SEM LIMITES NET TELECOM LTDA  - ME;16/08/2016;Viamão;RS
SPEED TRAVEL COMUNICACAO MULTIMIDIA LTDA - ME;30/05/2011;Cacoal;RO
NT2 TELECOMUNICAÇÕES LTDA - ME;19/03/2015;Valinhos;SP
UP NET TECNOLOGIA DE REDES LTDA - ME;28/11/2016;Aparecida de Goiânia;GO
RAFAEL PIERRE BARBOSA - ME;07/12/2016;Fortaleza;CE
CBR INFORMÁTICA LTDA. - ME;14/12/2012;Palmeira;PR
RÁDIO E TELEVISÃO MODELO PAULISTA LTDA.;22/06/2005;São Paulo;SP
LEONARDO MOREIRA DANTAS - ME;11/08/2016;Campinas;SP
VILMAR ALVES PEREIRA - ME;28/11/2016;Vargem Grande do Rio Pardo;MG
ERICK ANDRE MOREIRA - ME;17/03/2017;Ponta Porã;MS
SQUID NET TELECOMUNICAÇÕES LTDA - ME;20/11/2013;Rio Largo;AL
E NASCIMENTO GOMES ME;14/05/2015;Manaus;AM
PNTI - PONTO NET TECNOLOGIA EM INTERNET LTDA - ME;05/05/2017;Brasília;DF
DAILSON A.S.VIEIRA - ME;21/03/2017;Campo Alegre;AL
DMS TELECOMUNICAÇOES LTDA - ME;20/11/2013;Vale do Sol;RS
LUCINEY MAGALHAES RODRIGUES - ME;02/07/2014;Boa Viagem;CE
MARCELO ALVES DA SILVA-ELETRONICOS - ME;19/08/2016;Palmares Paulista;SP
M C DA S ARAUJO  SERVICOS - EPP;26/12/2016;Rio Largo;AL
BRASILINK TELECOMUNICAÇÕES EIRELI;16/12/2014;Tianguá;CE
VALENCANET INFORMATICA E TELECOMUNICACOES LTDA M.E.;16/04/2010;Valença;RJ
DENYS VASCONCELOS DE ARAUJO  - ME;16/05/2017;Fortaleza;CE
F B DE LIMA TELECOMUNICACOES - ME;22/12/2016;Quixeramobim;CE
ABCREDE TELECOM INFORMATICA LTDA-ME.;27/11/2014;Dracena;SP
TRIBALNET INFORMATICA LTDA.;05/12/2007;Brusque;SC
OPTICA TELECOM LTDA - ME;31/08/2017;Brasília;DF
PRIME SYSTEM INFORMÁTICA LTDA ME ;06/05/2014;Paraíso do Tocantins;TO
MATRIX SERVIÇOS DE COMUNICAÇÃO MULTIMIDIA EIRELI - ME;02/03/2015;Palmeirópolis;TO
PRATICA TELECOM LTDA;28/09/2009;Natal;RN
ZIELTEC BRASIL TELECOMUNICACOES, COMERCIO, IMPORTACAO E EXPORTACAO DE PRODUTOS TELEFONIA E INFORMATICA LTDA;26/12/2016;São Paulo;SP
VANIA C. DA SILVA EIRELI - ME ;13/05/2014;Guarantã do Norte;MT
LPA TELECOMUNICAÇOES LTDA - EPP;17/04/2014;Lages;SC
INTERCOM INFORMATICA LTDA - ME;02/06/2017;Santa Luzia do Pará;PA
VITORINO NET LTDA ;13/12/2011;Pedreiras;MA
E & F TECNOLOGIA LTDA ME;21/02/2013;Malhador;SE
TOP INFORMATICA TELECON LTDA - ME;06/08/2015;Curaçá;BA
HELP NET TELECOM E INFORMATICA LTDA - ME;21/05/2014;Ibitirama;ES
HEBERT J. N. DA SILVA;30/11/2015;São João da Barra;RJ
SPEET SERVICOS DE TELECOMUNICACOES LTDA;20/02/2009;Passa Quatro;MG
R.P.R. SERVICOS LTDA - ME;11/05/2016;Santa Branca;SP
UILSON FERNANDO DE OLIVEIRA ROSA - ME;17/02/2016;Campos dos Goytacazes;RJ
ORANGE BUSINESS SERVICES BRASIL LTDA.;08/07/2004;São Paulo;SP
ROSEANE DA SILVA SOARES PORSIDONIO;16/01/2017;Pirpirituba;PB
SPEEDT INTELIGENCIA EM TECNOLOGIA EIRELI - EPP;01/02/2017;Chapecó;SC
REUBEN PLANET EIRELI - ME;14/04/2015;Salvador;BA
D.V COMERCIO EM TELECOMUNICAÇÕES DE REDE LTDA - ME;17/09/2014;Manaus;AM
PRIME SOLUCOES EM TELECOMUNICACOES LTDA - ME;06/07/2017;Uberaba;MG
NET PREMIUM LTDA - ME;25/05/2016;Goiatuba;GO
VELBRAS - PROVEDOR DE ACESSO AS REDES DE COMUNICACOES LTDA;21/01/2009;Potirendaba;SP
INFOBARRA SOLUCOES DE INFORMATICA LTDA - ME;27/04/2012;Barra do Garças;MT
SULVALE TELECOM LTDA;15/08/2012;Bela Vista do Toldo;SC
MARIA DE FATIMA SILVA MARCELINO & CIA LTDA  ME;11/07/2011;Senador Pompeu;CE
F B BABETO ME;10/04/2014;Mirandópolis;SP
MICROPLAN INFORMATICA LTDA.;02/03/2011;Manhuaçu;MG
QUEX COMUNICAÇÃO LTDA;19/12/2014;Osasco;SP
PRISMA TELECOMUNICACOES LTDA. - EPP ;25/06/2014;Colinas;MA
MAX TELECOMUNICACOES LTDA-ME;17/10/2007;Teixeira de Freitas;BA
ROCHANET INTERNET SEM FRONTEIRAS LTDA - ME;08/08/2016;Arapuá;MG
JOAO GONCALVES FILHO COMUNICACAO MULTIMIDIA - ME;24/03/2017;Santo André;SP
SABINET INTERNET E INFORMATICA LTDA - ME;11/05/2017;Sabinópolis;MG
RTNET COMUNICACOES LTDA ME;13/07/2012;Criciúma;SC
INTERJATO SERVIÇOS DE TELECOMUNICAÇÕES LTDA;22/12/2005;Natal;RN
SEBASTIÃO ALVES DE SOUZA;07/03/2016;Santo Inácio do Piauí;PI
NET GALILEU SERVIÇOS DE TELECOMUNICAÇOES LTDA - ME;23/01/2015;Sumaré;SP
NOVA SERVICOS DE COMUNICACAO MULTIMIDIA LTDA ME;01/06/2010;Quilombo;SC
PATRICIA JORDANA DE SOUSA FREITAS - ME;25/06/2014;Brejo dos Santos;PB
F A DAS CHAGAS ALVES;30/05/2017;Carnaubais;RN
WNX TELECOM LTDA - ME;11/06/2010;Sorocaba;SP
NETWELL TELECOMUNICAÇOES LTDA - ME;05/05/2014;Catalão;GO
GOLDWEB BARRETOS SERVIÇOS DE TELECOMUNICAÇÕES LTDA - ME;08/04/2015;Barretos;SP
ACESSO LINE TELECOMUNICAÇÕES LTDA EPP;08/01/2013;Chapecó;SC
INFOVALE - TELECOM LTDA - EPP;26/03/2008;Registro;SP
FLY LINK LTDA - EPP;06/03/2007;Uberlândia;MG
OTTIMOS - LATIN AMERICA - S.A.;29/11/2010;Contagem;MG
CELSO HIDEO WATANABE  ME;24/06/2015;União da Vitória;PR
R C MORAIS MAIA ME;13/11/2013;São João do Jaguaribe;CE
QUICKNET INTERNET PROVIDER LTDA - ME;28/07/2010;Volta Redonda;RJ
AULOI INFORMÁTICA TELECOM LTDA - ME;07/05/2015;Rio de Janeiro;RJ
LOGFIBER TELECOMUNICACOES EIRELI - ME;14/07/2016;Brasília;DF
TERAVOZ TELECOM TELECOMUNICACOES LTDA - ME;06/09/2016;São Paulo;SP
CONECTIVA INFORMATICA E INTERNET LTDA - ME;25/02/2014;Três Lagoas;MS
STAR NET DIVINO LTDA ME;03/08/2010;Divino;MG
VERDENET - PROVEDOR DE INTERNET LTDA - EPP;10/07/2008;Boca do Acre;AM
ROBERTA CARDOSO JAHEL - ME;02/05/2016;Nanuque;MG
ARENA TELECOM COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA - ME;26/12/2014;Maceió;AL
F. V. BENTEO INFORMATICA ME ;14/06/2012;Colorado do Oeste;RO
MEGALINK - INFORMATICA E PRESTAÇÃO DE SERVIÇOS LTDA - ME;08/11/2012;Jardinópolis;SP
HELLOU GLOBAL PHONE TELECOM LTDA - EPP;27/03/2008;Santana de Parnaíba;SP
MOISES DANTAS SILVA EIRELI;07/06/2017;Boa Vista;RR
BRASNET WEB INFORMATICA LTDA;22/06/2009;Brasília;DF
IRANET TELECOM - EIRELI - ME;01/12/2015;São Paulo;SP
ROBERTO COTINGUIBA INFORMATICA LTDA;12/02/2010;Livramento de Nossa Senhora;BA
CLEBER GARCIA & CIA LTDA - ME;05/06/2015;Nova Mutum;MT
HBINFO PROVEDOR LTDA EPP;15/05/2009;Fraiburgo;SC
HELENA CRISTINA DA SILVA EIRELI - ME;12/08/2015;Sacramento;MG
MASTER COMPUTADORES E ACESSORIOS LTDA;17/01/2008;Itaporã;MS
A L A INFORMATICA LTDA;14/11/2011;Goianésia;GO
BNET SOLUCOES EM INTERNET LTDA - ME;13/10/2016;Itaitinga;CE
JBM DORO TELECOMUNICACAO - ME;04/01/2017;Paty do Alferes;RJ
FOX NET PROVEDOR DE ACESSO A INTERNET LTDA - ME;09/07/2015;Hortolândia;SP
D P PINA TELECOMUNICACOES - ME;07/10/2016;Valinhos;SP
INFORMATICA MORAES LTDA ME;12/01/2015;Campo Belo do Sul;SC
VGI TELECOMUNICAÇÕES LTDA - ME;29/03/2016;Barros Cassal;RS
OESTECOM SOLUCOES EM INFORMATICA LTDA. EPP ;12/05/2010;Chapecó;SC
CONEXÃO TURBO NET INFORMATICA LTDA ME - ME;03/12/2015;Aquidauana;MS
GLOBALNET RT TELECOMUNICACOES LTDA - ME;03/06/2011;Bebedouro;SP
SITECNET INFORMATICA LTDA;07/08/2007;João Pessoa;PB
MUNDO TELECOMUNICACOES X3 LTDA. ME - ME;23/03/2017;Fortaleza;CE
M L Kevorkian Serviços de Informática - ME;30/03/2016;Rio de Janeiro;RJ
MAYCKON FELIPE ROSINI;25/09/2012;Gaspar;SC
N B S TELECOM EIRELI - EPP;31/05/2017;Ananindeua;PA
BENJAMIM SOUZA ARGOLO;13/03/2014;Ferraz de Vasconcelos;SP
CALLIERO & CIA. LTDA - EPP;28/04/2015;Sobradinho;RS
MAIS INTERNET LTDA EPP;06/12/2011;Palhoça;SC
TURBO NET TELECOM SERVIÇOS E VENDAS DE EQUIPAMENTOS DE INFORMATICA EIRELI- ME;18/01/2016;Barra Mansa;RJ
MAXIMILIANA PEREZ - ME;07/12/2016;Vinhedo;SP
LINKTRONIC COMUNICAÇÕES E INFORMÁTICA LTDA - ME;18/03/2013;Itajaí;SC
